sci_name_norm,sci_name,common_name_en,toxic_to_dogs,toxic_to_cats,toxic_to_horses,clinical_signs,toxic_principles,additional_common_names,detail_url
aralia spinosa,Aralia spinosa,Angelica Tree,true,true,true,"Skin and oral irritation, hypersalivation, vomiting, diarrhea",Araliin,"Hercules' Club, Devil's Walking Stick, Prickly Ash, Prickly Elder",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/angelica-tree
araucaria heterophylla,Araucaria heterophylla,Australian Pine,false,false,false,,Non-toxic,"Norfolk Pine, House Pine, Norfolk Island Pine",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/australian-pine
arctotis stoechadifolia,Arctotis stoechadifolia,Blue Eyed Daisy,false,false,false,,Non-toxic,Blue-eyed African Daisy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-eyed-daisy
arisaema triphyllum,Arisaema triphyllum,Jack-in-the-pulpit,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Three-leaved indian turnip, Devil's dear, Wake robin, Starch wort, Wild turnip, Dragon root, Bog onion, Pepper turnip, Brown dragon, Memory root",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jack-pulpit
artemisia dracunculus,Artemisia dracunculus,Tarragon,true,true,true,Mild vomiting and diarrhea,Essential Oils,"French Tarragon, Estragon",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tarragon
arum maculatum,Arum maculatum,Adam-and-Eve,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Arum, Lord-and-Ladies, Wake Robin, Starch Root, Bobbins, Cuckoo Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/adam-and-eve
arum palestinum,Arum palestinum,Black Calla,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Solomon's Lily, Wild Calla, Wild Arum",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-calla
asarina erubescens,Asarina erubescens,Creeping Gloxinia,false,false,false,,,Maurandya,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/creeping-gloxinia
asclepias species,Asclepias species,Milkweed,true,true,true,"Vomiting, profound depression, weakness, anorexia, and diarrhea are common; may be followed by seizures, difficulty breathing, rapid, weak pulse, dilated pupils, kidney or liver failure, coma, respiratory paralysis and death",Some species contain cardiotoxins (steroidal glycosidic cardenolides) and other species contain neurotoxins.,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/milkweed
asparagus densiflorus,Asparagus densiflorus,Emerald Feather,true,true,true,"Allergic dermatitis with repeated dermal exposure. Berry ingestion could result in gastric upset (vomiting, abdominal pain, or diarrhea).",Unknown,"Emerald Fern, Asparagus, Asparagus fern, Sprengeri fern, Plumosa fern, Lace fern, Racemose asparagus, Shatavari",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/emerald-feather
asparagus densiflorus sprengeri,Asparagus densiflorus cv sprengeri,Asparagus Fern,true,true,true,"Allergic dermatitis with repeated dermal exposure. Berry ingestion could result in gastric upset (vomiting, abdominal pain, or diarrhea).",,"Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Lace Fern, Racemose Asparagus, Shatavari",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/asparagus-fern
aspidistra elatior,Aspidistra elatior,Cast Iron Plant,false,false,false,,,"Bar Room Plant, Iron Plant, Variegated Cast Iron Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cast-iron-plant
asplenium bulbiferum,Asplenium bulbiferum,Hen and Chickens Fern,false,false,false,,Non-toxic,"King and queen fern, Spleenwort, Parsley fern",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hen-and-chickens-fern
astragalus,Astragalus spp.,Loco Weed (Astragalus spp.),,,true,"Incoordination, depression, inability to eat and drink, fetal death and birth defects",Swainsonine,Locoweed,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/loco-weed-astragalus-spp
barbarea orthoceras,Barbarea orthoceras,Wintercress,,,true,"Gastrointestinal irritation, colic",Isothiocyanates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/wintercress
barbarea vulgaris,Barbarea vulgaris,Yellowrocket,false,false,true,"Gastrointestinal irritation, colic",Isothiocyanates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/yellowrocket
beaucarnea recurvata,Beaucarnea recurvata,Bottle Palm,false,false,false,,,"Elephant-foot Tree, Pony Tail Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bottle-palm
begonia,Begonia spp.,Begonia,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.",Soluble calcium oxalates,"Over 1,000 species and 10,000 hybrids",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/begonia
begonia cleopatra,Begonia cleopatra,Mapleleaf Begonia,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.",Soluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mapleleaf-begonia
begonia masoniana,Begonia masoniana,Iron Cross Begonia,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.",Soluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/iron-cross-begonia
begonia metallica,Begonia metallica,Metallic Leaf Begonia,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.",Soluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/metallic-leaf-begonia
begonia rex,Begonia rex,Rex Begonia,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.",Soluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rex-begonia
begonia rex 'peace',Begonia rex 'peace',Peace Begonia,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.",Soluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peace-begonia
begonia scharfii,Begonia scharfii,Elephant-Ear Begonia,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.",Soluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/elephant-ear-begonia
begonia semperflorens,Begonia semperflorens cultivar,Pink Pearl,true,true,true,"Kidney failure (rare in dogs/cats), tremors, salivation.",Soluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pink-pearl
berteroa incana,Berteroa incana,Hoary Alyssum,false,false,true,"Fever, swollen limbs, laminitis, bloody diarrhea, abortion, death",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hoary-alyssum
bertolonia mosaica,Bertolonia mosaica,Mosaic Plant,false,false,false,,Non-toxic,"Jewel Plant, Siver Nerve, Nerve Plant, Silver Threads",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mosaic-plant
beta vulgaris,Beta vulgaris,Beets,false,false,false,Large mature leaves contain oxalic acid,Non-toxic,"Beet Root, Red Beet, Swiss Chard, Roman Kale, Sugar Beet",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/beets
borage officinalis,Borage officinalis,Borage,true,true,true,"Vomiting, diarrhea, dermatitis","Tannins, mucilage",Starflower,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/borage
brassaia actinophylla,Brassaia actinophylla,Australian Ivy Palm,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","Terpenoids, saponins, insoluble oxalates","Schefflera, Umbrella Tree, Octopus Tree, Starleaf",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/australian-ivy-palm
brassica kaber,Brassica kaber,Charlock,,,true,"Gastrointestinal irritation, colic",Isothiocyanates,"Wild Mustard, California Rape",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/charlock
brassica species,Brassica species,White/Black/Yellow Indian Mustard,,,true,"Gastrointestinal irritation, colic",Isothiocyanates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/whiteblackyellow-indian-mustard
brodiaea pulchella,Brodiaea pulchella,Blue-dicks 3,false,false,false,,,Wild Hyacinth,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-dicks-3
brunfelsia species,Brunfelsia species,Brunfelsia,true,true,true,"Tremors, seizures (for several days), diarrhea, vomiting, hypersalivation, lethargy, incoordination, coughing",Brunfelsamidine,"Yesterday, Today, Tomorrow, Kiss-Me-Quick, Lady-of-the-Night, Fransiscan Rain Tree",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/brunfelsia
bulbophyllum appendiculatum,Bulbophyllum appendiculatum,Cirrhopetalum,false,false,false,,Non-toxic,Old World Orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cirrhopetalum
buxus,Buxus spp.,Boxwood,true,true,true,"Dogs and cats: vomiting, diarrhea; Horses: colic, diarrhea, respiratory failure, seizures",Alkaloids,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/boxwood
caesalpinia gilliesii,Caesalpinia gilliesii,Bird of Paradise,true,true,,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing and incoordination is possible. Deaths in rabbits have been reported.",possibly hydrocyanic acid,"Peacock Flower, Barbados Pride, Poinciana, Pride of Barbados",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bird-paradise
caesalpinia gilliessi,Caesalpinia gilliessi,Poinciana,true,true,true,"Intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing, incoordination (rare)",GI irritants,"Peacock Flower, Bird of Paradise, Barbados Pride, Pride of Barbados",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poinciana
caesalpinia pulcherrima,Caesalpinia pulcherrima,Barbados Pride,true,true,true,Vomiting and diarrhea.,"GI Irritants, Tannins.","Peacock Flower, Dwarf Poinciana",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-pride
caladium hortulanum,Caladium hortulanum,Caladium,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Malanga, Elephant's Ears, Stoplight, Seagull, Mother-in-law Plant, Pink Cloud, Texas Wonder, Angel-Wings, Exposition, Candidum, Fancy-leaved Caladium",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/caladium
calathea,Calathea spp.,Calathea,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/calathea
calathea insignis,Calathea insignis,Caeroba,false,false,false,,,"Rattle Snake Plant, Peacock Plant, Zebra Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/caeroba
calathea micans,Calathea micans,Miniature Maranta,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/miniature-maranta
calendula officinalis,Calendula officinalis,Garden Marigold,false,false,,,Non-toxic,"Marigold, Mary Bud, Gold bloom, Pot marigold",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/garden-marigold
callistemon citrinus,Callistemon citrinus,Callistemon citrinus,false,false,false,,,Crimson Bottlebrush,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/callistemon-citrinus
callistemon species,Callistemon species,Bottlebrush,false,false,false,"Do not confuse with Aesculus parviflora, a toxic Buckeye ""Bottlebrush"" plant containing Aesculin.",,"Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bottlebrush
callistemon viminalis,Callistemon viminalis,Callistemon viminalis,false,false,false,,,"Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/callistemon-viminalis
callistephus chinensis,Callistephus chinensis,China Aster,false,false,false,,,"Annual Aster, Aster Sinensis",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/china-aster
calochortus,Calochortus spp.,Calochortus nuttalli,false,false,false,,,"Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/calochortus-nuttalli
calochortus gunnisonii,Calochortus gunnisonii,Mariposa Lily,false,false,,,Non-toxic,Sego Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mariposa-lily
camellia japonica,Camellia japonica,Camellia,false,false,false,,,"Common Camellia, Peony Camellia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/camellia
canna edulis,Canna edulis,Queensland Arrowroot,false,false,false,,,"Achira, Canna, Arrowroot",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/queensland-arrowroot
canna generalis,Canna generalis,Canna Lily,false,false,false,,,Common Garden Canna,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/canna-lily
canna indica,Canna indica,Canna,false,false,false,,,"Achira, Indian shot, African arrow root, edible canna, purple arrow root, sierra leone arrow root",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/canna
cannabis sativa,Cannabis sativa,Hashish,true,true,true,"Prolonged depression, vomiting, incoordination, sleepiness or excitation, hypersalivaton, dilated pupils, low blood pressure, low body temperature, seizure, coma, death (rare)",Delta-9-THC (tetrahydrocannabinol),"Marijuana, Indian Hemp",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hashish
carissa grandiflora,Carissa grandiflora,Natal Plum,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/natal-plum
carum carvi,Carum carvi,Caraway,true,true,true,Mild Vomiting and diarrhea,"oils, carvone and limonene","Meridian Fennel, Persian Cumin",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/caraway
carya aquatica,Carya aquatica,Bitter Pecan,false,false,false,,,Water Hickory,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bitter-pecan
carya cordiformis,Carya cordiformis,Bitternut,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bitternut
