sci_name_norm,sci_name,common_name_en,toxic_to_dogs,toxic_to_cats,toxic_to_horses,clinical_signs,toxic_principles,additional_common_names,detail_url
dypsis lutescens,Dypsis lutescens,Areca Palm,false,false,false,,,"Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/areca-palm
dypsis lutescens chrysalidocarpus lutescens,"Dypsis lutescens, chrysalidocarpus lutescens (alternate scientific name)",Cane Palm,false,false,,,,"Golden Butterfly Palm, Areca Palm, Golden Feather Palm, Yellow Palm",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cane-palm
echevaria,Echevaria,Mexican Rosettes,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mexican-rosettes
echeveria,Echeveria Pulinata,Mexican Firecracker,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mexican-firecracker
echeveria derenbergii,Echeveria derenbergii,Maroon Chenille Plant,false,false,,,,"Blue Echeveria, Painted Lady, Copper Rose, Wax Rosette, Plush Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/maroon-chenille-plant
echeveria elegans,Echeveria elegans,Chickens and Hens,false,false,false,,,"Hens and Chickens, Mother Hens and Chicks",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chickens-and-hens
echeveria gilva,Echeveria gilva,Wax Rosette,false,false,false,,,"Maroon Chenille Plant, Painted Lady, Copper Rose, Blue Echeveria, Plush Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/wax-rosette
echeveria glauca,Echeveria glauca,Blue Echeveria,false,false,false,,,"Maroon Chenille Plant, Painted Lady, Copper Rose, Wax Rosette, Plush Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-echeveria
echeveria multicaulis,Echeveria multicaulis,Copper Rose,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/copper-rose
echeveria pul-oliver,Echeveria pul-oliver,Plush Plant,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/plush-plant
echinops,Echinops spp.,Globe Thistle,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/globe-thistle
echinopsis multiplex,Echinopsis multiplex,Easter Lily Cactus,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/easter-lily-cactus
echium plantagineum,Echium plantagineum,Patterson's Curse,,,true,Horses: liver disease (must be ingested in large amount or over a long time period),Pyrrolizidine alkaloids,Viper's Bugloss,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pattersons-curse
echium vulgare,Echium vulgare,Viper's Bugloss (Echium vulgare),,,true,Horses: liver disease (must be ingested in large amount or over a long time period),Pyrrolizidine alkaloids,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/vipers-bugloss-echium-vulgare
eichhornia crassipes,Eichhornia crassipes,Water Hyacinth,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/water-hyacinth
elaeagnus species,elaeagnus species,Russian Olive,false,false,false,,,"Autumn Olive, Silverberry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/russian-olive
eleagnus,Eleagnus spp.,Autumn Olive,false,false,false,,,"Silver Berry, Russian Olive",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/autumn-olive
encyclia tampensis,Encyclia tampensis,Florida Butterfly Orchid (Encyclia tampensis),false,false,false,,Non-toxic,Butterfly orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/florida-butterfly-orchid-encyclia-tampensis
epidendrum atropurpeum,Epidendrum atropurpeum,Spice Orchid (Epidendrum atropurpeum),false,false,,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/spice-orchid-epidendrum-atropurpeum
epidendrum ibaguense,Epidendrum ibaguense,Fiery Reed Orchid,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fiery-reed-orchid
epidendrum prismatocarpum,Epidendrum prismatocarpum,Rainbow Orchid,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rainbow-orchid
epidendrum tampense,Epidendrum tampense,Florida Butterfly Orchid (Epidendrum tampense),false,false,false,,Non-toxic,Scarlet Orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/florida-butterfly-orchid-epidendrum-tampense
epilobium angustifolium,Epilobium angustifolium,Blooming Sally,false,false,false,,,"Willow Herb, Great Willow Herb, Fire Weed",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blooming-sally
epipremnum aureum,Epipremnum aureum,Devils Ivy,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Pothos, Golden Pothos, Taro Vine, Ivy Arum",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/devils-ivy
episcia,Episcia cultivar,Pink Brocade,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pink-brocade
episcia dianthiflora,Episcia dianthiflora,Chocolate Soldier,false,false,false,,,"Lace-Flower Vine, Episcia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chocolate-soldier
episcia reptans,Episcia reptans,Cyrtudeira,false,false,false,,,"Flame African Violet, Frosty, Flame, Moss agate, Lady Lou, Red African Violet, Acajou",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cyrtudeira
equisetum arvense,Equisetum arvense,Field Horsetail,,,true,"Thiamine deficiency: weakness, weight loss, staggers, tremors, death",Thiaminase,"Scouring rush, Common horsetail, Western horsetail",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/field-horsetail
erigeron speciosus,Erigeron speciosus,Fleabane,true,true,true,"Mild gastrointestinal signs, mild dermatitis",Irritant,"Showy Daisy, Horseweed, Seaside Daisy",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fleabane
eriogonium inflatum,Eriogonium inflatum,Desert Trumpet,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/desert-trumpet
eriogonium umbellatum,Eriogonium umbellatum,Sulfur Flower,false,false,false,,Non-toxic,"Umbrella Plant, Wild Buckweat",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sulfur-flower
erysimum cheiranthoides,Erysimum cheiranthoides,Wormseed Mustard,,,true,"Gastrointestinal irritation, colic",Isothiocyanates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/wormseed-mustard
eucalyptus species,Eucalyptus species,Eucalyptus,true,true,true,"Salivation, vomiting, diarrhea, depression, weakness",Essential oils: eucalyptol,Many cultivars,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/eucalyptus
euonymus atropurpurea,Euonymus atropurpurea,Burning Bush,true,true,true,"Vomiting, diarrhea, abdominal pain, weakness. Heart rhythm abnormalities with large doses.","Alkaloids, Cardenolides","Wahoo, Spindle Tree",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/burning-bush
euonymus occidentalis,Euonymus occidentalis,Wahoo,true,true,true,"Vomiting, diarrhea, abdominal pain, weakness. Heart rhythm abnormalities with large doses.","Alkaloids, Cardenolides","Burning Bush, Spindle Tree",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/wahoo
euphorbia pulcherrima,Euphorbia pulcherrima,Poinsettia,true,true,true,"Irritating to the mouth and stomach, sometimes causing vomiting, but generally over-rated in toxicity.",Irritant sap,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poinsettia
euphorbia tirucalli,Euphorbia tirucalli,Pencil Cactus,true,true,true,"Irritating to the mouth and stomach, sometimes causing vomiting, but generally over-rated in toxicity.",Irritant Sap (latex),Sticks of Fire,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pencil-cactus
exacum affine,Exacum affine,Arabian Gentian,false,false,false,,,"Persian Violet, German Violet",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/arabian-gentian
fagopyrum,Fagopyrum spp.,Buckwheat,true,true,true,"Photosensitization (sunburn, dermatitis)",Fagopyrin,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buckwheat
fatsia japonica,Fatsia japonica,Figleaf Palm,false,false,false,,Non-toxic,"Formosa rice tree, Glossy-leaved paper plant, Big-leaf paper plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/figleaf-palm
felicia amelloides,Felicia amelloides,Blue Daisy,false,false,false,,,"Felicia, Blue Marguerite",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-daisy
ficus,Ficus sp.,Weeping Fig,true,true,true,,"Proteolytic enzyme (ficin), psoralen (ficusin)","fig, indian rubber plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/weeping-fig
ficus benjamina,Ficus benjamina,Fig,true,true,true,Gastrointestinal and dermal irritation,"Proteolytic enzyme (ficin), psoralen (ficusin)","Weeping Fig, Indian Rubber Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fig
fittonia verschaffeltii,Fittonia verschaffeltii,Nerve Plant,false,false,false,,Non-toxic,"Jewel Plant, Silver Nerve, Mosaic Plant, Silver Threads",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nerve-plant
foeniculum vulgare,Foeniculum vulgare,Fennel,false,false,false,,Non-toxic,"Florence Fennel, Finocchio",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fennel
fragaria,Fragaria spp.,Strawberry,false,false,false,,,wild strawberry,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/strawberry
frithia pulchra,Frithia pulchra,Purple Baby Tears,false,false,false,,Non-toxic,fairy elephant's feet,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/purple-baby-tears
fuchsia triphylla,Fuchsia triphylla,Honeysuckle Fuchsia,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/honeysuckle-fuchsia
fuschsia,Fuschsia spp.,Ladies Ear Drops,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ladies-ear-drops
galtonia,Galtonia spp.,Summer Hyacinth,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/summer-hyacinth
gardenia jasminoides,Gardenia jasminoides,Cape Jasmine,true,true,true,"Mild vomiting and/or diarrhea, hives.","Genioposide, Gardenoside",Gardenia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cape-jasmine
gerbera jamesonii,Gerbera jamesonii,African Daisy,false,false,false,,,"Barberton Daisy, Veldt Daisy, Transvaal Daisy, Gerber Daisy",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/african-daisy
giant,Giant Dracaena,Hawaiian Ti,true,true,,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)",Saponins,"Snake Plant, Giant Dracaena",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hawaiian-ti
gladiolus species,Gladiolus species,Gladiola,true,true,true,"Salivation, vomiting, drooling,lethargy, diarrhea. Highest concentration in corms (bulbs).",Unknown,Many cultivars,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gladiola
gleditsia triacanthos,Gleditsia triacanthos,Honey Locust,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/honey-locust
gloriosa superba,Gloriosa superba,Climbing Lily,true,true,true,"Bloody vomiting, diarrhea, shock, multi-organ damage, bone marrow suppression",Colchicine related alkaloids,"Gloriosa Lily, Glory Lily, Superb Lily",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/climbing-lily
gloxinia perennis,Gloxinia perennis,Canterbury-bell,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/canterbury-bell
guzmania lingulata minor,Guzmania lingulata minor,Orange Star,false,false,false,Non-toxic,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/orange-star
guzmania musaica,Guzmania musaica,Mosaic Vase,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mosaic-vase
gynura aurantica,Gynura aurantica,Purple Passion Vine,false,false,false,Non-toxic,,"Velvet Plant, Royal Velvet Plant, Purple Velvet Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/purple-passion-vine
gypsophila elegans,Gypsophila elegans,Baby’s Breath,false,false,false,"Mild GI upset such as vomiting, and diarrhea may be seen if ingested.",Non-toxic,Maidens Breath,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/babys-breath
haemaria discolor,Haemaria discolor,Golden Lace Orchid,false,false,false,,Non-toxic,Jewel Orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-lace-orchid
halesia carolina,Halesia carolina,Silver Bell,false,false,false,,,"opossum wood, snowbell tree, shittimwood",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/silver-bell
haplopappus heterophyllus,Haplopappus heterophyllus,Jimmy Weed,,,true,"Tremors, cardiac damage",Trematol,Burrow Weed,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jimmy-weed
haworthia fasciata,Haworthia fasciata,Zebra Haworthia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/zebra-haworthia
haworthia margaritifera,Haworthia margaritifera,Pearl Plant,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pearl-plant
haworthia species,Haworthia species,Haworthia,false,false,,,Non-toxic,Many cultivars,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/haworthia
haworthia subfasciata,Haworthia subfasciata,Little Zebra Plant,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/little-zebra-plant
hedera helix,Hedera helix,Branching Ivy,true,true,true,"Vomiting, abdominal pain, hypersalivation, diarrhea. Foliage is more toxic than berries",Triterpenoid saponins (hederagenin),"English Ivy, Glacier Ivy, Needlepoint Ivy, Sweetheart Ivy, California Ivy",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/branching-ivy
hedychium coronarium,Hedychium coronarium,Butterfly Ginger,false,false,false,,,"White Ginger, Cinnamon Jasmine, Garland Flower, Ginger Lily",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/butterfly-ginger
hedychium gardnerianum,Hedychium gardnerianum,Kahali Ginger,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/kahali-ginger
helianthus angustifolius,helianthus angustifolius,Sunflower,false,false,false,,,swamp sunflower,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sunflower
heliotropium,Heliotropium spp.,Heliotrope,,,true,Horses: liver disease (must be ingested in large amount or over a long time period),Pyrrolizidine alkaloids,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/heliotrope
helleborus niger,Helleborus niger,Christmas Rose,true,true,true,"Drooling, abdominal pain, diarrhea, colic, depression","Cardiac glycosides, saponins, protoanemonin","Hellebore, Lenten Rose, Easter Rose",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/christmas-rose
hemerocallis,Hemerocallis spp.,Day Lilies (many varieties),false,true,,"Cats: Vomiting, inappetence, lethargy, kidney failure, death.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/day-lilies-many-varieties
hemerocallis graminea,Hemerocallis graminea,Orange Day Lily,false,true,false,"Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/orange-day-lily
hemigraphis exotica,Hemigraphis exotica,Purple Waffle Plant,false,false,false,,Non-toxic,waffle plant,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/purple-waffle-plant
heracleum maximum,Heracleum maximum,Cow parsnip,true,true,true,"Photosensitization (sunburn, dermatitis)",Furanocoumarins,Giant Hogweed,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cow-parsnip
heuchera sanguinea,Heuchera sanguinea,Alumroot,false,false,false,,,"Coral Bells, Heuchera",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/alumroot
hibiscus syriacus,Hibiscus syriacus,Hibiscus,false,false,false,,Non-toxic,"Rose of Sharon, Rose of China",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hibiscus
hippeastrum,Hippeastrum spp.,Barbados Lily,true,true,true,"Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.",Lycorine and other alkaloids,"Amaryllis, Fire Lily, Lily of the Palace, Ridderstjerne",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-lily
hookera pulchella,Hookera pulchella,Blue-dicks 2,false,false,false,,,Wild Hyacinth,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-dicks-2
hosta plantaginea,Hosta plantaginea,Plantain Lily,true,true,true,"Vomiting, diarrhea, depression.",Saponins,Hosta,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/plantain-lily
hosta plataginea,Hosta plataginea,Hosta,true,true,true,"Vomiting, diarrhea, depression.",Saponins,"Plantain Lily, Funkia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hosta
howea belmoreana,Howea belmoreana,Belmore Sentry Palm,false,false,false,,,Curly Palm,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/belmore-sentry-palm
howea forsteriana,Howea forsteriana,Forster Sentry Palm,false,false,false,,Non-toxic,Kentia palm,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/forster-sentry-palm
hoya carnosa,Hoya carnosa,Honey Plant,false,false,false,,Non-toxic,Wax Plant,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/honey-plant
hoya carnosa 'krinkle kurl',Hoya carnosa 'krinkle kurl',Hindu Rope Plant,false,false,,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hindu-rope-plant
hoya kerrii,Hoya kerrii,Sweetheart Hoya,false,false,false,,Non-toxic,"wax hearts, valentine hoya",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sweetheart-hoya
hoya publcalyx,Hoya publcalyx,Silver Pink Vine,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/silver-pink-vine
humulus lupulus,Humulus lupulus,Hops,true,,,"Dogs: panting, high body temperature, seizures, death.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hops
hyacinthus orientalis,Hyacinthus orientalis,Garden Hyacinth,true,true,true,"Vomiting, diarrhea, dermatitis and allergic reactions. Bulbs contain highest amount of toxin.",Narcissus like alkaloids,Hyacinth,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/garden-hyacinth
hydrangea arborescens,Hydrangea arborescens,Hills of Snow,true,true,true,"Vomiting, depression, diarrhea. Cyanide intoxication is rare - usually produces more of a gastrointestinal disturbance.",Cyanogenic glycoside,"Hydrangea, Hortensia, Seven Bark",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hills-snow
hylocereus undatus,Hylocereus undatus,Night Blooming Cereus,false,false,false,,Non-toxic,"Queen of the Night, Pitaya, Honolulu Queen",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/night-blooming-cereus
hypericum perforatum,Hypericum perforatum,Klamath Weed,true,true,true,Photosensitization (ulcerative and exudative dermatitis).,Hypericin,St. John's Wort,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/klamath-weed
hypochaeris radicata,Hypochaeris radicata,Catsear,,,true,"Stringhalt (back legs may have exaggerated flexion, hopping gait)",Unknown,"Flatweed, Cat's Ear, False Dandelion",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/catsear
hypocyrta nummularia,Hypocyrta nummularia,Candycorn Plant,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/candycorn-plant
hypoestes phyllostachya,Hypoestes phyllostachya,Baby’s Tears,false,false,false,"Mild vomiting, diarrhea",Unknown,"Polka Dot Plant, Measles Plant, Flamingo Plant, Freckle Face, Pink Splash",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/babys-tears
ilex aquifolium,Ilex aquifolium,English Holly,true,true,true,"Vomiting, diarrhea and depression. Leaves and berries are low toxicity.",Saponins,"European Holly, Oregon Holly, Inkberry, Winterberry, American Holly",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/english-holly
ilex opaca,Ilex opaca,American Holly,true,true,true,"Vomiting (not in horses), diarrhea and depression.",saponins,"English Holly, European Holly, Oregon Holly, Inkberry, Winterberry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-holly
impatiens,Impatiens spp.,Buzzy Lizzie,false,false,false,,,"Giant Touch-Me-Not, Impatience Plant, Patient Lucy, Patient Plant, Tangerine Impatience",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buzzy-lizzie
incarvillea delavayi,Incarvillea delavayi,Hardy Gloxinia,false,false,,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hardy-gloxinia
ipomoea,Ipomoea spp,Morning Glory,true,true,true,"Vomiting, large amounts of seeds may cause hallucinations","Indole alkaloids (Lysergic acid, lysergamide, elymoclavine and chanoclavine)",,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/morning-glory
ipomoea batatas,Ipomoea batatas,Sweet Potato Vine,false,false,false,,Non-toxic,Sweet potato,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sweet-potato-vine
iresine herbstii,Iresine herbstii,Bloodleaf,false,false,false,,,"Chicken Gizzard, Yellow Bloodleaf, Joseph's Coat",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bloodleaf
iris species,Iris species,Flag,true,true,true,"Salivation, vomiting, drooling,lethargy, diarrhea. Highest concentration in rhizomes.","Pentacylic terpenoids (zeorin, missourin and missouriensin)","Iris, Snake Lily, Water Flag",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/flag
iris spuria,Iris spuria,Butterfly Iris,true,true,true,"Salivation, vomiting, drooling,lethargy, diarrhea. Highest concentration in rhizomes.","Pentacylic terpenoids (zeorin, missourin and missouriensin)",Spuria Iris,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/butterfly-iris
ixora coccinea,Ixora coccinea,Flame of the Woods,false,false,false,,Non-toxic,Maui sunset,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/flame-woods
ixora javanica,Ixora javanica,Jungle Geranium,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jungle-geranium
jacaranda procera,Jacaranda procera,Caroba,false,false,false,,,"Caaroba, Carob Tree, Carobhina, Bignonia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/caroba
jasminum species,Jasminum species,Jasmine,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jasmine
juglans nigra,Juglans nigra,Black Walnut,true,false,true,"Dogs: moldy nuts/hulls can cause tremors and seizures, ingestion of shavings can cause incoordination; Horses: laminitis, colic",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-walnut
kaempferia,Kaempferia spp.,Kaempferia,false,false,false,,Non-toxic,Peacock Ginger,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/kaempferia
kalanchoe,Kalanchoe spp,Kalanchoe,true,true,,"Vomiting, diarrhea, abnormal heart rhythm (rare).",Bufodienolides,"Mother-In-Law-Plant, Devils Backbone, Chandelier Plant, Mother of Millions",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/kalanchoe
kalanchoe tubiflora,Kalanchoe tubiflora,Chandelier Plant,true,true,true,"Vomiting, diarrhea, abnormal heart rhythm (rare).",Bufodienolides,"Mother-In-Law-Plant, Kalanchoe, Devils Backbone, Mother of Millions",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chandelier-plant
kalmia augustifolia,Kalmia augustifolia,Lambkill,true,true,true,"Vomiting (not in horses), diarrhea, weakness, cardiac failure",Grayanotoxin,Sheep Laurel,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lambkill
kalmia latifolia,Kalmia latifolia,Laurel,true,true,true,"Vomiting (not in horses), diarrhea, weakness, cardiac failure",Grayanotoxins,"Mountain laurel, Spoonwood, Mountain Ivy, Calico Bush, Ivy Bush",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/laurel
kalmia polifolia,Kalmia polifolia,Pale Laurel,,,true,"Typically not very palatable to horses unless it is the only forage available, but sheep and goats may graze readily on the plant. The toxic principle interferes with normal skeletal muscle, cardiac muscle and nerve function. Clinical effects typically occur within a few hours after ingestion, and can include acute digestive upset, excessive drooling, loss of appetite, frequent bowel movements/diarrhea, colic, depression, weakness, loss of coordination, stupor, leg paralysis, weak heart rate and recumbency for 2 or more days; at this point, improvement may be seen or the animal may become comatose and die.",Grayanotoxin,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pale-laurel
kalmia poliifolia,Kalmia poliifolia,Bog Laurel,true,true,true,"Vomiting (not in horses), diarrhea, weakness, cardiac failure",Grayanotoxin,"Pale Laurel, Bog Kalmia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bog-laurel
kniphofia,Kniphofia,Torch Lily,false,false,false,,,"red hot poker, poker plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/torch-lily
kohleria lindeniana,Kohleria lindeniana,Tree Gloxinia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tree-gloxinia
